date,S1,S2,S3
2024-05-08C,1,1,1
2024-05-09A,1,1,1
2024-05-09C,1,1,1
2024-05-10A,1,1,1
2024-05-10C,1,1,1
2024-05-13A,1,1,1
2024-05-13C,1,1,1
2024-05-14A,1,1,1
2024-05-14C,1,1,1
2024-05-15A,1,1,1
2024-05-15C,1,1,1
2024-05-16A,1,1,1
2024-05-16C,1,1,1
2024-05-17A,1,1,1
2024-05-17C,1,1,1
2024-05-20A,1,1,1
2024-05-20C,1,1,1
2024-05-21A,1,1,1
2024-05-21C,1,1,1
2024-05-22A,1,1,1
2024-05-22C,1,1,1
2024-05-23A,1,1,1
2024-05-23C,1,1,0
2024-05-24A,1,1,0
2024-05-24C,1,1,1
2024-05-28A,1,1,1
2024-05-28C,1,1,0
2024-05-29A,1,1,0
2024-05-29C,1,1,0
2024-05-30A,1,1,0
2024-05-30C,1,1,0
2024-05-31A,1,1,0
2024-05-31C,1,1,0
2024-06-03A,1,1,0
2024-06-03C,1,1,0
2024-06-04A,1,1,0
2024-06-04C,1,1,0
2024-06-05A,1,1,0
2024-06-05C,1,1,1
2024-06-06A,1,1,1
2024-06-06C,1,1,1
2024-06-07A,1,1,1
2024-06-07C,1,1,1
2024-06-10A,1,1,1
2024-06-10C,1,1,1
2024-06-11A,1,1,1
2024-06-11C,1,1,1
2024-06-12A,1,1,1
2024-06-12C,1,1,1
2024-06-13A,1,1,1
2024-06-13C,1,1,1
2024-06-14A,1,1,1
2024-06-14C,1,1,0
2024-06-17A,1,1,0
2024-06-17C,1,1,0
2024-06-18A,1,1,0
2024-06-18C,1,1,1
2024-06-20A,1,1,1
2024-06-20C,1,1,0
2024-06-21A,1,1,0
2024-06-21C,1,1,0
2024-06-24A,1,1,0
2024-06-24C,1,1,0
2024-06-25A,1,1,0
2024-06-25C,1,1,0
2024-06-26A,1,1,0
2024-06-26C,1,1,1
2024-06-27A,1,1,1
2024-06-27C,1,1,1
2024-06-28A,1,1,1
2024-06-28C,1,1,1
2024-07-01A,1,1,1
2024-07-01C,1,1,1
2024-07-02A,1,1,1
2024-07-02C,1,1,1
2024-07-03A,1,1,1
2024-07-03C,1,1,1
2024-07-05A,1,1,1
2024-07-05C,1,1,1
2024-07-08A,1,1,1
2024-07-08C,1,1,1
2024-07-09A,1,1,1
2024-07-09C,1,1,0
2024-07-10A,1,1,0
2024-07-10C,1,1,0
2024-07-11A,1,1,0
2024-07-11C,1,1,0
2024-07-12A,1,1,0
2024-07-12C,1,1,0
2024-07-15A,1,1,0
2024-07-15C,1,1,0
2024-07-16A,1,1,0
2024-07-16C,1,1,0
2024-07-17A,1,1,0
2024-07-17C,1,1,0
2024-07-18A,1,1,0
2024-07-18C,1,1,0
2024-07-19A,1,1,0
2024-07-19C,1,1,0
2024-07-22A,1,1,0
2024-07-22C,1,1,0
2024-07-23A,1,1,0
2024-07-23C,1,1,0
2024-07-24A,1,1,0
2024-07-24C,1,1,0
2024-07-25A,1,1,0
2024-07-25C,1,0,0
2024-07-26A,1,0,0
2024-07-26C,1,0,0
2024-07-29A,1,0,0
2024-07-29C,1,0,0
2024-07-30A,1,0,0
2024-07-30C,0,0,0
2024-07-31A,0,0,0
2024-07-31C,0,0,0
2024-08-01A,0,0,0
2024-08-01C,0,0,0
2024-08-02A,0,0,0
2024-08-02C,0,0,0
2024-08-05A,0,0,0
2024-08-05C,0,0,0
2024-08-06A,0,0,0
2024-08-06C,0,0,0
2024-08-07A,0,0,0
2024-08-07C,0,0,0
2024-08-08A,0,0,0
2024-08-08C,0,0,0
2024-08-09A,0,0,0
2024-08-09C,0,0,0
2024-08-12A,0,0,0
2024-08-12C,0,0,0
2024-08-13A,0,0,0
2024-08-13C,0,0,0
2024-08-14A,0,0,0
2024-08-14C,0,0,0
2024-08-15A,0,0,0
2024-08-15C,1,0,0
2024-08-16A,1,0,0
2024-08-16C,1,1,1
2024-08-19A,1,1,1
2024-08-19C,1,1,1
2024-08-20A,1,1,1
2024-08-20C,1,1,1
2024-08-21A,1,1,1
2024-08-21C,1,1,1
2024-08-22A,1,1,1
2024-08-22C,1,1,0
2024-08-23A,1,1,0
2024-08-23C,1,1,1
2024-08-26A,1,1,1
2024-08-26C,1,1,0
2024-08-27A,1,1,0
2024-08-27C,1,1,1
2024-08-28A,1,1,1
2024-08-28C,1,1,0
2024-08-29A,1,1,0
2024-08-29C,1,1,1
2024-08-30A,1,1,1
2024-08-30C,1,1,1
2024-09-03A,1,1,1
2024-09-03C,1,1,0
2024-09-04A,1,1,0
2024-09-04C,1,1,0
2024-09-05A,1,1,0
2024-09-05C,1,1,0
2024-09-06A,1,1,0
2024-09-06C,1,1,0
2024-09-09A,1,1,0
2024-09-09C,1,1,0
2024-09-10A,1,1,0
2024-09-10C,1,1,0
2024-09-11A,1,1,0
2024-09-11C,1,1,1
2024-09-12A,1,1,1
2024-09-12C,1,1,1
2024-09-13A,1,1,1
2024-09-13C,1,1,1
2024-09-16A,1,1,1
2024-09-16C,1,1,1
2024-09-17A,1,1,1
2024-09-17C,1,1,1
2024-09-18A,1,1,1
2024-09-18C,1,1,1
2024-09-19A,1,1,1
